Participant ID,Prolific PID,Condition,mental,temporal,performance,effort,frustration
3626bd8d-a648-4299-ad5f-1676660f37b7,6a0219353eab8f39711ab298,control,4,2,6,4,1
d89fa5b3-13e4-46b1-bf1d-8bfa4da69ad1,5eea9a9ea8d6d71ba912a73e,slider,4,1,1,6,1
c610032f-e8d4-4b1f-b7f6-be93a1b7aa26,5a8367b9190420000155ec2a,slider,5,4,1,5,3
c5d5ce69-ef1b-43f3-88dd-7e573642269e,66bfd4b46a7e9cec65d88461,slider,4,3,3,5,5
416dd243-0e51-471f-b7c5-6ae48cdf2557,69d7d5524fb570711a829550,control,6,2,2,6,2
eb53d07e-9edc-4f09-8169-010bfd90f581,629e9a5d81c583f5ebe90f05,slider,5,4,6,5,2
7d85a503-6739-4acd-9d53-5181aa3250e1,5b0c65c11e55760001b96e90,slider,3,2,1,7,1
3fda2761-e946-45d5-9a92-57763126ab15,5ae0afd709eae20001131fb9,slider,2,1,1,4,1
38c51b3c-bb48-4d73-96bb-fc189645bc8e,6567ae0e8905da3905e013bf,control,4,1,5,2,1
818813df-adef-4ed6-8237-09e200b96783,56e6a66af6ed900006a5867c,slider,2,1,1,3,1
243af2f4-de87-4984-82d5-ce9993179cc3,5e4c511d056b9c0ad9b6fd24,slider,5,3,3,4,2
4a408748-bbe8-4ced-b91e-d064300caf1c,6a1b7d4982412fe5063e8213,control,5,1,6,5,2
e18abf98-20aa-4be2-aa77-3af149429c2c,601e028aea41df251254119a,slider,6,2,2,6,5
8d3284a0-2a1a-4f7e-b44d-9b9816ede2e0,5d1c39079d6c1700015ca55d,slider,1,2,1,2,3
3c5fd927-2ef5-4224-ad07-167d23739401,678006318afafe2d811d0277,control,5,2,3,6,3
9a6c1b6c-bae3-4517-a41f-7f664bc6965e,656a1cf88a3cf09f538c6f25,slider,5,5,1,4,3
7ee93b9d-bb47-4071-b382-b2cd781ea883,6a00de0fef1ab5f141829594,control,4,1,4,4,5
721f9ac7-f5af-4e3e-8124-552d82189b52,653703627539f3a8b2ed4af3,control,5,1,2,5,2
bd3e89a6-e304-49a1-8ef5-dbffb2a1000e,597fe89a1b41a20001749f57,control,3,4,1,4,1
bee45f25-44bc-4866-bce1-71aee01b8903,6a0026530a47e6ee38ed70f4,slider,5,3,3,6,6
c555a3b9-1c20-4e7f-b35d-ec5becf37109,69fb0ec454eb7e322ee43497,control,4,3,5,5,2
c3f3861f-a652-49d2-aebe-5b76259858e3,671bbaf1bec15d847b871b9b,slider,6,4,6,6,4
2fa186f3-69a2-403b-89e2-c9b65ba08ec6,69eaa2a626aeaf78e6dc5e6e,control,3,4,1,5,2
0348e6db-d4f6-4f48-b6cc-1e1ba3135caf,5e0815b567f170172799e072,slider,1,4,2,2,1
938ee1ef-203a-4c50-aab5-cf75d7e31a0e,59a3b1a35fd74b0001abf9c1,control,5,2,6,7,4
6af793ba-81a9-42a0-af1e-ccba7f0f96f2,6151556ef73ba765c7ff55f6,slider,6,4,6,5,3
cd92e029-6fcc-4a27-b4f1-1278dde8552f,6754e27f2604dff18a382fe1,slider,1,1,1,1,1
91ad70ad-2305-4d88-a15b-574b063bab64,5e11ff6f814bba8816cca900,control,4,4,2,2,1
eb9004a6-9153-42bf-b6be-d27ec6649685,6a05df9dcade14a5baa8434a,control,4,3,2,5,2
f986aaeb-bf2a-424d-8552-6f0cae3153ae,5ba33d995196c600014853b6,slider,3,2,1,4,3
a48c1e1f-eb6d-4e4c-9104-520c10dee9a2,5e7b6486b704ac034e3f01c8,slider,7,2,6,7,1
1d070cfd-cede-431b-a0da-ddda49d79c64,69f1a379d47eb6f895b00393,control,7,4,2,7,2
8474428c-75b7-4bbb-a46a-3a605e59b413,57d0a0bee3221e00015fe385,control,3,1,4,3,5
2ef362ae-142e-435f-88db-16c7875a7346,6a2226960ed641170ddb9136,slider,2,2,2,3,3
75a91faa-4c0e-410d-9854-77a384c46c6e,6a1f39f3a66c7bf7bb7e1a24,control,4,2,3,4,5
125440af-b892-41c5-9e4b-2c797f4f0b25,69f5a1c6fd2bcd8b85351be0,control,2,2,1,3,1
5301a25b-d7c9-462b-8d91-76c79af071cf,69f39df5fdef5b2e2a84011b,control,6,2,5,6,6
1cca6a77-61b6-4768-9093-20f0f7464250,6a060a5dda15cbf782335b93,slider,5,5,5,6,3
b6fca8b0-b426-4606-a850-612432ae1bff,69fe5858f55c6a80ba691640,slider,4,4,5,5,2
6dd86fee-5798-43d5-bccd-9e173088de9c,5a17467d5d06850001b00c41,slider,5,4,1,5,2
4c913dcb-bf5c-44b7-9e17-ce35b0e01d53,5ef4d8b87faaa00c0dea0c4e,slider,5,2,2,5,1
0855eaf4-4da0-4c32-a699-3d1a9bdc8050,615a3aff99c738f7dd86fded,control,5,4,1,6,4
1074eaf9-f732-4cab-b704-a8fa34dfb1d0,6a096bd3debdc4eb95dd28fa,control,2,6,6,4,3
f6f951c5-7515-471c-ba2a-fb4f5c24a06b,5f51135fd3e0342eda5f66c5,control,5,1,7,7,1
d4b5d149-1c19-43f2-81ac-46ab3264c593,5a0c036857cee70001767a58,slider,5,3,4,5,3
14ac779f-b08c-4389-9c0b-f82c9f1e40c6,63d3ff28c338c75425b282b9,control,5,3,2,5,6
6fc49e77-52a0-4f43-aa47-7e18014a9c3d,6a07cae01c1dd72606ee9e12,control,6,4,6,5,4
e926b86a-ea39-411d-adf4-2f3f2da6d9bd,69d21ef8ab84b9685d094e7d,slider,3,2,6,3,5
e0460393-548b-4854-8b2f-4fc6ed5cae4a,6a05ddfc4e1e07322a8f4e2a,control,3,3,5,4,3
3812ef79-c5b2-4cc9-bec2-3d8ca96d5e30,69e83c91e2420c0266697081,control,3,1,2,5,1
354eeb0d-b9bb-437e-be30-d35fdf71cd95,649d7af69b46b6d1ae70f045,control,4,3,4,5,4
c95ad853-cd3d-48dc-b932-74fce7adfa72,69fcac8a39568327c289faf9,slider,4,3,1,4,2
db42bf77-e436-4f4f-906a-3b977b4738af,62fbdda6e4b5a034b71296f8,control,6,2,3,7,2
a2bf8f47-9ebf-4f9a-8a5d-33e49ca5cb43,57d5ab3a722df500017f3622,control,2,1,2,3,1
2a5153ba-bc45-4cee-a381-3f4d7cc938d3,669eba3ad8d7d49177bc50d0,control,5,2,7,5,1
18062aee-9139-432e-9781-274bd80196ac,5f09c74aacb884256ee4600c,slider,4,2,3,6,2
